start_time,temperature,error_temperature,environment_humidity,error_environment_humidity,ground_humidity,error_ground_humidity,luminosity,error_luminosity,end_time
2016-11-08 16:30:00,27.8020491803,0.514101405666,48.5348360656,12.2103430814,511.133879781,84.0788269957,1004.13114754,N/A,2016-11-08 17:00:00
2016-11-08 17:00:00,27.230464716,1.0094223138,46.6947504303,11.327217768,500.148594378,78.930167393,1005.6626506,N/A,2016-11-08 17:30:00
2016-11-08 17:30:00,27.8779461279,1.30683808819,46.7090909091,9.86354438982,486.82379349,75.0884724264,1004.6969697,N/A,2016-11-08 18:00:00
2016-11-08 18:00:00,28.1056049822,0.557758783096,45.2320284698,11.7090340339,475.638196916,72.7285962975,1003.94661922,N/A,2016-11-08 18:30:00
2016-11-08 18:30:00,27.3290598291,0.757873421887,45.7466666667,14.764873083,468.756695157,71.2049223489,995.109401709,N/A,2016-11-08 19:00:00
2016-11-08 19:00:00,25.3540852575,1.08728657278,49.4609236234,16.7525276913,467.555950266,70.8558636733,985.53285968,N/A,2016-11-08 19:30:00
2016-11-08 19:30:00,19.6601289134,0.5189356396,68.2430939227,20.9405180581,469.173726212,71.4970329601,917.042357274,N/A,2016-11-08 20:00:00
2016-11-08 20:00:00,18.5348577236,0.445103597832,75.3661585366,23.2774665856,470.012195122,72.8139725269,926.014227642,N/A,2016-11-08 20:30:00
2016-11-08 20:30:00,17.6171052632,0.381465500377,78.48125,22.9693403428,471.489035088,73.7875996732,914.460526316,N/A,2016-11-08 21:00:00
2016-11-08 21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 21:30:00
2016-11-08 21:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 22:00:00
2016-11-08 22:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 22:30:00
2016-11-08 22:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 23:00:00
2016-11-08 23:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-08 23:30:00
2016-11-08 23:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 00:00:00
2016-11-09 00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 00:30:00
2016-11-09 00:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 01:00:00
2016-11-09 01:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 01:30:00
2016-11-09 01:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 02:00:00
2016-11-09 02:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 02:30:00
2016-11-09 02:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 03:00:00
2016-11-09 03:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 03:30:00
2016-11-09 03:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 04:00:00
2016-11-09 04:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 04:30:00
2016-11-09 04:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 05:00:00
2016-11-09 05:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 05:30:00
2016-11-09 05:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 06:00:00
2016-11-09 06:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 06:30:00
2016-11-09 06:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 07:00:00
2016-11-09 07:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 07:30:00
2016-11-09 07:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 08:00:00
2016-11-09 08:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 08:30:00
2016-11-09 08:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 09:00:00
2016-11-09 09:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 09:30:00
2016-11-09 09:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 10:00:00
2016-11-09 10:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 10:30:00
2016-11-09 10:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 11:00:00
2016-11-09 11:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 11:30:00
2016-11-09 11:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 12:00:00
2016-11-09 12:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 12:30:00
2016-11-09 12:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 13:00:00
2016-11-09 13:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 13:30:00
2016-11-09 13:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 14:00:00
2016-11-09 14:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 14:30:00
2016-11-09 14:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 15:00:00
2016-11-09 15:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 15:30:00
2016-11-09 15:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 16:00:00
2016-11-09 16:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 16:30:00
2016-11-09 16:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 17:00:00
2016-11-09 17:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 17:30:00
2016-11-09 17:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 18:00:00
2016-11-09 18:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 18:30:00
2016-11-09 18:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 19:00:00
2016-11-09 19:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 19:30:00
2016-11-09 19:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 20:00:00
2016-11-09 20:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 20:30:00
2016-11-09 20:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 21:00:00
2016-11-09 21:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 21:30:00
2016-11-09 21:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 22:00:00
2016-11-09 22:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 22:30:00
2016-11-09 22:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 23:00:00
2016-11-09 23:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-09 23:30:00
2016-11-09 23:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 00:00:00
2016-11-10 00:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 00:30:00
2016-11-10 00:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 01:00:00
2016-11-10 01:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 01:30:00
2016-11-10 01:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 02:00:00
2016-11-10 02:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 02:30:00
2016-11-10 02:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 03:00:00
2016-11-10 03:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 03:30:00
2016-11-10 03:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 04:00:00
2016-11-10 04:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 04:30:00
2016-11-10 04:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 05:00:00
2016-11-10 05:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 05:30:00
2016-11-10 05:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 06:00:00
2016-11-10 06:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 06:30:00
2016-11-10 06:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 07:00:00
2016-11-10 07:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 07:30:00
2016-11-10 07:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 08:00:00
2016-11-10 08:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 08:30:00
2016-11-10 08:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 09:00:00
2016-11-10 09:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 09:30:00
2016-11-10 09:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 10:00:00
2016-11-10 10:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 10:30:00
2016-11-10 10:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 11:00:00
2016-11-10 11:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 11:30:00
2016-11-10 11:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 12:00:00
2016-11-10 12:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 12:30:00
2016-11-10 12:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 13:00:00
2016-11-10 13:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 13:30:00
2016-11-10 13:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 14:00:00
2016-11-10 14:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 14:30:00
2016-11-10 14:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 15:00:00
2016-11-10 15:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 15:30:00
2016-11-10 15:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 16:00:00
2016-11-10 16:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 16:30:00
2016-11-10 16:30:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 17:00:00
2016-11-10 17:00:00,27.919193154,0.959694313537,44.6265281174,10.985396573,547.171149144,104.474871698,1001.18581907,N/A,2016-11-10 17:30:00
2016-11-10 17:30:00,26.2158,0.586898628385,47.1484,11.3838534917,541.84,95.9387010127,996.372,N/A,2016-11-10 18:00:00
2016-11-10 18:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2016-11-10 18:30:00
2016-11-10 18:30:00,17.9492021277,0.0913973126746,73.9178191489,21.6077539747,534.734042553,106.950534839,965.085106383,N/A,2016-11-10 19:00:00
2016-11-10 19:00:00,17.7864766082,0.174398997056,75.0225877193,21.1686474381,523.867933723,94.1887306552,969.073099415,N/A,2016-11-10 19:30:00
2016-11-10 19:30:00,18.9720289855,0.481857403643,70.4374637681,18.6474306123,509.601449275,87.8974112857,988.243478261,N/A,2016-11-10 20:00:00
2016-11-10 20:00:00,21.111038961,0.0603030458415,60.6216450216,16.8566910071,500.330928331,85.0470022152,996.874458874,N/A,2016-11-10 20:30:00
2016-11-10 20:30:00,20.3119645495,0.295585257128,63.8688330871,16.8907651738,494.908911866,83.0461386836,970.923190547,N/A,2016-11-10 21:00:00
2016-11-10 21:00:00,18.3776064611,0.304751600996,77.5961820852,22.546426794,493.895741557,82.5122271891,931.826725404,N/A,2016-11-10 21:30:00
2016-11-10 21:30:00,17.2172876304,0.262398790634,82.8611028316,22.2105296021,493.717834078,81.8963505819,901.947839046,N/A,2016-11-10 22:00:00
2016-11-10 22:00:00,16.3552985075,0.218358795563,84.5209701493,21.5615854482,493.371144279,81.5546225741,878.208955224,N/A,2016-11-10 22:30:00
2016-11-10 22:30:00,15.830349345,0.279651983185,86.81069869,18.5110674347,492.9286754,81.2657397627,615.675400291,N/A,2016-11-10 23:00:00
2016-11-10 23:00:00,15.3520497804,0.35438162694,88.6290629575,15.9395120261,493.060517326,80.8746030277,107.464128843,N/A,2016-11-10 23:30:00
2016-11-10 23:30:00,14.7586757991,0.196849056741,91.3187975647,12.1356528655,492.287671233,80.7448368916,0.520547945205,N/A,2016-11-11 00:00:00
2016-11-11 00:00:00,14.3102134146,0.149182284323,94.1125762195,8.18465320157,491.950711382,80.4520613125,0.234756097561,N/A,2016-11-11 00:30:00
2016-11-11 00:30:00,14.1405426357,0.197003238107,94.6159689922,7.47274831516,491.765374677,80.347312106,0.266666666667,N/A,2016-11-11 01:00:00
2016-11-11 01:00:00,14.0067629179,0.18021551247,95.2297112462,6.60478569582,491.97922999,80.2311240387,0.323708206687,N/A,2016-11-11 01:30:00
2016-11-11 01:30:00,14.0377245509,0.256802552569,95.1797904192,6.67538440647,491.93762475,80.1320341116,0.462574850299,N/A,2016-11-11 02:00:00
2016-11-11 02:00:00,14.0632861635,0.259383666747,94.8576257862,7.13099399977,491.27148847,80.1305361155,0.278301886792,N/A,2016-11-11 02:30:00
2016-11-11 02:30:00,13.9871900826,0.257012861459,94.6955371901,7.36022189065,490.524517906,80.1494677807,0.274380165289,N/A,2016-11-11 03:00:00
2016-11-11 03:00:00,13.8495881384,0.264203983481,95.0803130148,6.81606670083,490.582097748,80.0939857806,0.263591433278,N/A,2016-11-11 03:30:00
2016-11-11 03:30:00,13.6146687697,0.199194433943,95.2924290221,6.51608936657,490.393270242,80.1961376695,0.293375394322,N/A,2016-11-11 04:00:00
2016-11-11 04:00:00,13.6325878594,0.315825968083,95.0462460064,6.86424472619,490.63684771,80.1307615771,0.258785942492,N/A,2016-11-11 04:30:00
2016-11-11 04:30:00,13.5206030151,0.255363855986,95.0439698492,6.86746369849,490.314907873,80.2968531518,0.20770519263,N/A,2016-11-11 05:00:00
2016-11-11 05:00:00,13.5079248366,0.247833994386,95.2474673203,6.57967481507,490.162854031,80.4266276982,0.202614379085,N/A,2016-11-11 05:30:00
2016-11-11 05:30:00,13.48625,0.276655528139,95.022265625,6.89815810678,490.361458333,80.5253158183,0.215625,N/A,2016-11-11 06:00:00
2016-11-11 06:00:00,13.384015748,0.268032444459,95.1149606299,6.76706757366,490.695013123,80.4882638855,0.2,N/A,2016-11-11 06:30:00
2016-11-11 06:30:00,13.2400981997,0.20970171645,95.5826513912,6.10565295611,491.62629569,80.4775782589,0.199672667758,N/A,2016-11-11 07:00:00
2016-11-11 07:00:00,13.1265079365,0.219539819683,96.0127777778,5.49736238663,492.115873016,80.7211680355,0.222222222222,N/A,2016-11-11 07:30:00
2016-11-11 07:30:00,13.1838788871,0.312122256769,95.9071194763,5.6467857896,491.96781233,80.9890697568,0.184942716858,N/A,2016-11-11 08:00:00
2016-11-11 08:00:00,13.15888,0.255010989567,95.89472,5.6643212971,492.48,81.0113916414,0.1744,N/A,2016-11-11 08:30:00
2016-11-11 08:30:00,13.0086850649,0.193191674146,96.1041396104,5.36815724386,492.126623377,81.1321537751,0.173701298701,N/A,2016-11-11 09:00:00
2016-11-11 09:00:00,13.0190063091,0.235888145459,96.0924290221,5.38471851667,492.666140904,81.1256564295,0.173501577287,N/A,2016-11-11 09:30:00
2016-11-11 09:30:00,13.0338957055,0.20649253242,96.2822852761,5.11622122737,492.833844581,81.205529849,0.171779141104,N/A,2016-11-11 10:00:00
2016-11-11 10:00:00,12.9826625387,0.214759056453,96.2488390093,5.16352139147,492.688854489,81.3008490924,0.343653250774,N/A,2016-11-11 10:30:00
2016-11-11 10:30:00,12.774082232,0.231029748625,96.1290748899,5.33289343344,492.515418502,81.3864099436,232.817914831,N/A,2016-11-11 11:00:00
2016-11-11 11:00:00,12.6435143288,0.178216505485,95.9779788839,5.54657545436,492.41025641,81.5678455767,819.052790347,N/A,2016-11-11 11:30:00
2016-11-11 11:30:00,12.954587156,0.0456267678381,95.5404434251,6.16534403419,492.775229358,81.5167379451,944.902140673,N/A,2016-11-11 12:00:00
2016-11-11 12:00:00,13.7203787879,0.0545329320642,94.5228030303,7.6045048821,492.064646465,81.5135264614,957.498484848,N/A,2016-11-11 12:30:00
2016-11-11 12:30:00,14.7425261584,0.0447094422184,92.9858744395,9.77805013966,490.831091181,81.3966118204,964.349775785,N/A,2016-11-11 13:00:00
2016-11-11 13:00:00,15.4923641703,0.192922819302,90.9932452276,12.5960533959,490.150758688,81.1378080788,974.342143906,N/A,2016-11-11 13:30:00
2016-11-11 13:30:00,16.6960624071,0.349140539953,88.941307578,15.4979314491,489.201584943,80.7197714211,979.85884101,N/A,2016-11-11 14:00:00
2016-11-11 14:00:00,17.7839849624,0.544738051131,85.8678947368,18.4131669139,488.116290727,80.1360995387,985.672180451,N/A,2016-11-11 14:30:00
2016-11-11 14:30:00,19.2816642121,0.857588268494,81.1527982327,18.4646512595,486.321060383,79.6281961715,991.874815906,N/A,2016-11-11 15:00:00
2016-11-11 15:00:00,22.1106259098,1.69273335129,70.0524745269,14.5710313962,483.811741873,79.2605748136,1001.35371179,N/A,2016-11-11 15:30:00
2016-11-11 15:30:00,26.08910162,1.80494473218,54.9808541973,10.4662217559,477.794305351,79.0086195838,1001.70692194,N/A,2016-11-11 16:00:00
2016-11-11 16:00:00,23.3040875912,0.422199523365,62.0630656934,15.3905661948,474.640389294,78.5248076947,987.851094891,N/A,2016-11-11 16:30:00
2016-11-11 16:30:00,20.0578947368,0.551212479135,73.6185672515,18.247490082,474.903021442,78.403985118,976.530701754,N/A,2016-11-11 17:00:00
2016-11-11 17:00:00,16.7213649852,0.26920415438,85.290727003,19.628507897,476.600890208,78.8755370738,966.847181009,N/A,2016-11-11 17:30:00
2016-11-11 17:30:00,15.5942962963,0.175467238294,90.3957777778,13.4409999665,478.270123457,79.3799030909,954.253333333,N/A,2016-11-11 18:00:00
2016-11-11 18:00:00,15.9563689605,0.414532291636,88.6509516837,15.9085566926,479.381161542,79.6056695997,981.115666179,N/A,2016-11-11 18:30:00
2016-11-11 18:30:00,16.2622938531,0.171423038258,87.128185907,18.0521074834,480.323838081,79.6088958099,971.412293853,N/A,2016-11-11 19:00:00
2016-11-11 19:00:00,15.9752994012,0.133376428787,89.0248502994,15.3797841994,481.293912176,79.6645286873,964.314371257,N/A,2016-11-11 19:30:00
2016-11-11 19:30:00,15.1902238806,0.170444395764,90.6479850746,13.0843249867,481.918905473,79.9181148973,960.982089552,N/A,2016-11-11 20:00:00
2016-11-11 20:00:00,14.8733431517,0.209945106167,91.2877025037,12.1796279225,482.46784487,80.266038142,968.089837997,N/A,2016-11-11 20:30:00
2016-11-11 20:30:00,15.5676119403,0.299517767912,89.8557462687,14.2047198508,483.274626866,80.2425199589,973.917910448,N/A,2016-11-11 21:00:00
2016-11-11 21:00:00,15.4592424242,0.0379266364455,89.6476515152,14.4990102734,483.507575758,80.3025321454,946.627272727,N/A,2016-11-11 21:30:00
2016-11-11 21:30:00,15.7155873494,0.369846664316,88.5134036145,16.1030790377,484.078313253,80.4165270247,955.237951807,N/A,2016-11-11 22:00:00
2016-11-11 22:00:00,15.6199704142,0.194768169611,89.0791420118,15.3030041234,484.064102564,80.6013721952,942.717455621,N/A,2016-11-11 22:30:00
2016-11-11 22:30:00,15.0173469388,0.302014995463,90.5783527697,13.1827999368,484.581146744,80.8518959238,710.400874636,N/A,2016-11-11 23:00:00
2016-11-11 23:00:00,14.4383358098,0.300283979291,92.7190936107,10.1553352059,485.646854879,81.1337618613,135.979197623,N/A,2016-11-11 23:30:00
2016-11-11 23:30:00,14.1474045802,0.397815036438,92.7632061069,10.0929507155,486.607633588,81.4132153125,0.357251908397,N/A,2016-11-12 00:00:00
2016-11-12 00:00:00,13.9102643857,0.280863253367,94.0086314152,8.33165335351,486.860549508,81.7681659187,0.206842923795,N/A,2016-11-12 00:30:00
2016-11-12 00:30:00,13.4677265501,0.22123786095,95.1158982512,6.76574157694,487.755696873,81.9802398289,0.298887122417,N/A,2016-11-12 01:00:00
2016-11-12 01:00:00,13.2695583596,0.210347537747,95.2569400631,6.56627833369,488.469505783,82.1673067021,1.64353312303,N/A,2016-11-12 01:30:00
2016-11-12 01:30:00,13.0158112583,0.169401243771,95.7015728477,5.93747261944,488.704746137,82.4083722649,0.246688741722,N/A,2016-11-12 02:00:00
2016-11-12 02:00:00,13.0274766355,0.178693152928,96.2085046729,5.22056275703,489.274143302,82.5653855257,0.261682242991,N/A,2016-11-12 02:30:00
2016-11-12 02:30:00,13.1175213675,0.219142665691,96.1581196581,5.29181792827,489.444444444,82.7007880808,0.288888888889,N/A,2016-11-12 03:00:00
2016-11-12 03:00:00,12.9475609756,0.207073059011,96.2496747967,5.16233940951,489.597831978,82.9432874045,0.372357723577,N/A,2016-11-12 03:30:00
2016-11-12 03:30:00,12.7660031847,0.19850784319,96.4960987261,4.81384334651,489.988853503,83.1032478043,0.428343949045,N/A,2016-11-12 04:00:00
2016-11-12 04:00:00,12.7388178914,0.202417787841,96.5857028754,4.68712394334,490.483493078,83.1729351237,0.20447284345,N/A,2016-11-12 04:30:00
2016-11-12 04:30:00,12.7628325509,0.190664316742,96.5816901408,4.69279880697,490.637454356,83.2355196237,0.264475743349,N/A,2016-11-12 05:00:00
2016-11-12 05:00:00,12.7006923077,0.215069247139,96.5657692308,4.71531437393,491.383589744,83.3884629872,0.315384615385,N/A,2016-11-12 05:30:00
2016-11-12 05:30:00,12.4519077901,0.170312682591,96.6399046105,4.61047111447,491.807101219,83.5672325273,0.27186009539,N/A,2016-11-12 06:00:00
2016-11-12 06:00:00,12.3505645161,0.195366760673,96.7439516129,4.46332643254,491.832258065,83.5956949293,0.222580645161,N/A,2016-11-12 06:30:00
2016-11-12 06:30:00,12.2652871622,0.202695981026,96.9092060811,4.2296213224,492.365427928,83.7226405181,0.197635135135,N/A,2016-11-12 07:00:00
2016-11-12 07:00:00,12.19944,0.208059099296,96.97336,4.13889398018,492.726933333,83.8833740831,0.2576,N/A,2016-11-12 07:30:00
2016-11-12 07:30:00,12.1386824324,0.191109940861,96.9227195946,4.21051032831,492.898648649,83.9483093873,0.184121621622,N/A,2016-11-12 08:00:00
2016-11-12 08:00:00,11.9875630252,0.191097093134,96.9868907563,4.11975860111,493.095238095,84.0306897026,0.136134453782,N/A,2016-11-12 08:30:00
2016-11-12 08:30:00,11.9869817579,0.222216807686,96.9834991708,4.12455502731,493.4671089,84.1583813625,0.149253731343,N/A,2016-11-12 09:00:00
2016-11-12 09:00:00,11.7055178268,0.223657034525,96.9812393888,4.12775084169,493.198075835,84.4412499751,0.103565365025,N/A,2016-11-12 09:30:00
2016-11-12 09:30:00,11.8782571912,0.212371325991,97.3543993232,3.60002300154,493.0642978,84.8224586801,0.12013536379,N/A,2016-11-12 10:00:00
2016-11-12 10:00:00,11.9118421053,0.175148488893,97.2907072368,3.69009721386,493.081140351,84.9275680225,0.523026315789,N/A,2016-11-12 10:30:00
2016-11-12 10:30:00,11.8852941176,0.203813131048,97.2258823529,3.78177344385,493.202941176,85.0968582585,266.966176471,N/A,2016-11-12 11:00:00
2016-11-12 11:00:00,11.8452229299,0.233525392386,97.2265923567,3.78076934692,494.024946921,85.1514538808,801.421974522,N/A,2016-11-12 11:30:00
2016-11-12 11:30:00,12.3966935484,0.0441371490837,96.7324193548,4.4796355083,493.834408602,85.1626602,929.877419355,N/A,2016-11-12 12:00:00
2016-11-12 12:00:00,13.8587423313,0.229918155846,95.0680981595,6.83334111488,493.287321063,84.843560394,966.239263804,N/A,2016-11-12 12:30:00
2016-11-12 12:30:00,14.5174277017,0.0259380113037,92.2808219178,10.775144978,492.002029427,84.4773705167,968.652968037,N/A,2016-11-12 13:00:00
2016-11-12 13:00:00,15.28125,0.03141513561,91.0319277108,12.5413481034,491.469879518,84.2212127032,973.126506024,N/A,2016-11-12 13:30:00
2016-11-12 13:30:00,16.6915137615,0.353877751502,88.504204893,16.1160879944,490.281345566,83.6995705968,985.0,N/A,2016-11-12 14:00:00
2016-11-12 14:00:00,16.8222488038,0.185065746081,87.0045454545,17.8600286469,487.45348219,83.8754358416,973.43062201,N/A,2016-11-12 14:30:00
2016-11-12 14:30:00,18.6301401869,0.656772233055,82.0776479751,18.9195120465,485.712357217,83.5527992305,989.604361371,N/A,2016-11-12 15:00:00
2016-11-12 15:00:00,22.3281437126,2.00128155765,66.0137724551,12.4613809124,483.930139721,83.4315778689,1003.44011976,N/A,2016-11-12 15:30:00
2016-11-12 15:30:00,24.3370451237,1.93574341103,59.2296943231,10.1703981459,479.338185347,83.7035630964,1002.42212518,N/A,2016-11-12 16:00:00
2016-11-12 16:00:00,25.3084919473,0.908782331663,58.3485358712,13.5504642834,474.273792094,83.4389635744,1000.64275256,N/A,2016-11-12 16:30:00
2016-11-12 16:30:00,25.4615440115,1.12106525323,53.8637085137,11.6762410233,471.584896585,83.0189361122,1001.2972583,N/A,2016-11-12 17:00:00
2016-11-12 17:00:00,27.1493459302,0.802586752076,52.4128633721,11.793575005,470.731104651,82.7290531844,1002.49418605,N/A,2016-11-12 17:30:00
2016-11-12 17:30:00,27.6850940666,0.475838861435,49.8535455861,12.0631802885,469.385914134,82.4403604731,998.97105644,N/A,2016-11-12 18:00:00
2016-11-12 18:00:00,25.250728863,0.252538136138,56.3048833819,16.0673008354,470.23372206,82.6186908285,996.021865889,N/A,2016-11-12 18:30:00
2016-11-12 18:30:00,24.3143377001,0.283769053236,59.39643377,17.0602119488,470.899078117,82.7417010816,994.538573508,N/A,2016-11-12 19:00:00
2016-11-12 19:00:00,20.8433526012,0.266697788858,68.4247109827,20.0673225911,471.650770713,83.6296311873,951.218208092,N/A,2016-11-12 19:30:00
2016-11-12 19:30:00,19.7360175695,0.263172099235,72.8038799414,22.0634915753,472.747193753,84.6283321471,968.515373353,N/A,2016-11-12 20:00:00
2016-11-12 20:00:00,17.4534107402,0.0911336461094,80.6096516691,20.447290822,474.934204161,85.25338507,800.291727141,N/A,2016-11-12 20:30:00
2016-11-12 20:30:00,14.0030959752,0.0151053770594,92.7553405573,10.1040742824,460.87254902,78.5247449199,942.950464396,N/A,2016-11-12 21:00:00
2016-11-12 21:00:00,14.5711851852,0.0786721766921,93.8834074074,8.50874684372,471.228148148,82.9766718171,963.660740741,N/A,2016-11-12 21:30:00
2016-11-12 21:30:00,14.6767830046,0.010515396746,94.8708649469,7.11227099912,476.617096611,85.1912100753,944.130500759,N/A,2016-11-12 22:00:00
